Timestamp,sessionID,numTimeSwitches,mostRecentCheckpoint,timePassedSinceGameStart,currentLevel,eventType,debug,Checkpoint,Dimension
4/2/2024 14:30:46,6.38477E+17,14,"(42.14, 2.69, 0.00)",0.7037,1,timeSwitch,FALSE,42.14,present
4/2/2024 14:30:46,6.38477E+17,15,"(42.14, 2.69, 0.00)",0.706233333,1,timeSwitch,FALSE,42.14,past
4/2/2024 14:30:46,6.38477E+17,15,"(42.14, 2.69, 0.00)",0.70825,1,playerDied,FALSE,42.14,past
4/2/2024 14:30:46,6.38477E+17,15,"(42.14, 2.69, 0.00)",0.710166667,1,playerDied,FALSE,42.14,past
4/2/2024 14:30:46,6.38477E+17,16,"(42.14, 2.69, 0.00)",0.710183333,1,timeSwitch,FALSE,42.14,present
4/2/2024 14:30:46,6.38477E+17,16,"(42.14, 2.69, 0.00)",0.711183333,1,playerDied,FALSE,42.14,present
4/2/2024 14:30:46,6.38477E+17,17,"(42.14, 2.69, 0.00)",0.714916667,1,timeSwitch,FALSE,42.14,past
4/2/2024 14:30:46,6.38477E+17,16,"(42.14, 2.69, 0.00)",0.712183333,1,playerDied,FALSE,42.14,past
4/2/2024 14:30:47,6.38477E+17,17,"(42.14, 2.69, 0.00)",0.72855,1,passedCheckpoint,FALSE,42.14,past
4/2/2024 14:30:47,6.38477E+17,17,"(42.14, 2.69, 0.00)",0.728466667,1,checkpointUsed,FALSE,42.14,past
4/2/2024 14:30:48,6.38477E+17,17,"(42.14, 2.69, 0.00)",0.74795,1,playerDied,FALSE,42.14,past
4/2/2024 14:30:49,6.38477E+17,17,"(42.14, 2.69, 0.00)",0.764516667,1,checkpointUsed,FALSE,42.14,past
4/2/2024 14:30:49,6.38477E+17,17,"(42.14, 2.69, 0.00)",0.764533333,1,passedCheckpoint,FALSE,42.14,past
4/2/2024 14:30:52,6.38477E+17,18,"(42.14, 2.69, 0.00)",0.809366667,1,timeSwitch,FALSE,42.14,present
4/2/2024 14:30:53,6.38477E+17,19,"(42.14, 2.69, 0.00)",0.8233,1,timeSwitch,FALSE,42.14,past
4/2/2024 14:30:54,6.38477E+17,19,"(42.14, 2.69, 0.00)",0.837033333,1,levelCompleted,FALSE,42.14,past
4/2/2024 14:30:59,6.38477E+17,20,"(0, 0, 0)",0.920583333,2,timeSwitch,FALSE,0,present
4/2/2024 14:31:00,6.38477E+17,21,"(0, 0, 0)",0.935433333,2,timeSwitch,FALSE,0,past
4/2/2024 14:31:01,6.38477E+17,22,"(0, 0, 0)",0.955433333,2,timeSwitch,FALSE,0,present
4/2/2024 14:31:01,6.38477E+17,23,"(0, 0, 0)",0.964216667,2,timeSwitch,FALSE,0,past
4/2/2024 14:31:04,6.38477E+17,23,"(17.51, 5.60, 0.00)",1.0135,2,passedCheckpoint,FALSE,17.51,past
4/2/2024 14:31:04,6.38477E+17,24,"(17.51, 5.60, 0.00)",1.014616667,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:31:05,6.38477E+17,25,"(17.51, 5.60, 0.00)",1.020883333,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:31:06,6.38477E+17,26,"(17.51, 5.60, 0.00)",1.050483333,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:31:07,6.38477E+17,27,"(17.51, 5.60, 0.00)",1.063916667,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:31:09,6.38477E+17,28,"(17.51, 5.60, 0.00)",1.0831,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:31:09,6.38477E+17,29,"(17.51, 5.60, 0.00)",1.091683333,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:31:11,6.38477E+17,30,"(17.51, 5.60, 0.00)",1.1336,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:31:14,6.38477E+17,31,"(17.51, 5.60, 0.00)",1.173,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:31:14,6.38477E+17,32,"(17.51, 5.60, 0.00)",1.1827,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:31:17,6.38477E+17,33,"(17.51, 5.60, 0.00)",1.220366667,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:31:17,6.38477E+17,33,"(37.64, 5.79, 0.00)",1.220783333,2,passedCheckpoint,FALSE,37.64,past
4/2/2024 14:31:19,6.38477E+17,34,"(37.64, 5.79, 0.00)",1.2632,2,timeSwitch,FALSE,37.64,present
4/2/2024 14:31:21,6.38477E+17,35,"(37.64, 5.79, 0.00)",1.289566667,2,timeSwitch,FALSE,37.64,past
4/2/2024 14:31:21,6.38477E+17,36,"(37.64, 5.79, 0.00)",1.295233333,2,timeSwitch,FALSE,37.64,present
4/2/2024 14:31:22,6.38477E+17,37,"(37.64, 5.79, 0.00)",1.305933333,2,timeSwitch,FALSE,37.64,past
4/2/2024 14:31:22,6.38477E+17,38,"(37.64, 5.79, 0.00)",1.3127,2,timeSwitch,FALSE,37.64,present
4/2/2024 14:31:23,6.38477E+17,39,"(37.64, 5.79, 0.00)",1.326833333,2,timeSwitch,FALSE,37.64,past
4/2/2024 14:31:24,6.38477E+17,40,"(37.64, 5.79, 0.00)",1.336633333,2,timeSwitch,FALSE,37.64,present
4/2/2024 14:31:28,6.38477E+17,40,"(37.64, 5.79, 0.00)",1.416133333,2,levelCompleted,FALSE,37.64,present
4/2/2024 14:31:30,6.38477E+17,41,"(0, 0, 0)",1.445533333,3,timeSwitch,FALSE,0,past
